TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,TP_ALTITUDE,TP_TEMP,TP_VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,POINTING_ERROR,TP_SOFTWARE_STATE
1095,08:58:19,1,T,0.9,56.82,8.63,0.0023,0.0074,0.0083,-0.1484,0.7662,9.0553,36.0791,104.3083,-35.7136,0.7,Standby
1095,08:58:19,2,T,0.9,56.88,8.63,-0.0052,-0.0143,0.006,-0.0862,0.7901,8.9596,36.4399,103.9499,-36.0603,0.95,Standby
1095,08:58:19,3,T,0.9,57.56,8.63,0.0028,-0.0007,0.0083,-0.1245,0.7422,9.0841,34.9967,103.233,-34.6734,1.82,Standby
1095,08:58:19,4,T,0.9,57.36,8.63,0.0043,0.0079,0.0044,-0.1245,0.8667,9.0601,36.981,103.4122,-35.5402,2,Standby
1095,08:58:20,5,T,0.9,56.63,8.63,-0.0123,-0.0053,0.0056,-0.1197,0.7758,9.041,36.8006,105.3837,-36.0603,0.32,Standby
1095,08:58:20,6,T,0.9,56.99,8.63,-0.0035,0.0058,-0.0017,-0.1437,0.7375,9.0889,36.6202,103.7706,-35.8869,1.2,Standby
1095,08:58:20,7,T,0.9,56.69,8.63,0.0012,-0.0047,-0.0182,-0.1389,0.6944,8.926,36.6202,104.4875,-36.5804,1.25,Standby
1095,08:58:20,8,T,0.9,57.44,8.63,-0.0081,0.0026,-0.0012,-0.1101,0.7901,9.0889,36.2595,104.846,-36.2337,1.85,Standby
1095,08:58:21,9,T,0.9,57.28,8.63,-0.0088,0.0056,0.0155,-0.1245,0.8332,9.0936,36.0791,105.0252,-36.4071,1.68,Standby
1095,08:58:21,10,T,0.9,57,8.63,0.0095,0.0055,0.0147,-0.1197,0.8093,9.0841,37.3418,106.2798,-36.5804,1.85,Standby
1095,08:58:21,11,T,0.9,56.79,8.63,-0.0061,-0.0015,-0.0038,-0.1293,0.7375,9.017,34.6359,103.233,-34.3266,0.65,Standby
1095,08:58:21,12,T,0.9,57.59,8.63,-0.0007,0.0071,-0.0239,-0.1197,0.7806,8.9739,34.9967,104.3083,-34.6734,0.63,Standby
1095,08:58:22,13,T,0.9,56.98,8.63,-0.0019,0.0007,-0.0113,-0.1532,0.7614,8.9596,34.9967,103.9499,-35.3668,0.91,Standby
1095,08:58:22,14,T,0.9,57.04,8.63,-0.0099,-0.0049,-0.017,-0.1149,0.7518,9.0074,35.1771,103.4122,-35.1935,0.75,Standby
1095,08:58:22,15,T,0.9,56.76,8.63,-0.0048,-0.0022,-0.0025,-0.1484,0.7758,8.9739,36.0791,104.1291,-35.8869,1.89,Standby
1095,08:58:22,16,T,0.9,56.85,8.63,-0.0056,-0.0042,0.0151,-0.1341,0.8045,9.0889,36.4399,103.5914,-35.0201,1.69,Standby
1095,08:58:23,17,T,0.8,56.89,8.63,0.0049,0.007,0.022,-0.1389,0.7901,9.0793,35.7183,104.3083,-36.4071,1.63,Standby
1095,08:58:23,18,T,0.8,57.31,8.63,-0.0065,-0.0014,-0.0198,-0.1245,0.7662,9.2038,35.5379,103.4122,-34.5,1.98,Standby
1095,08:58:23,19,T,0.8,56.68,8.63,-0.0071,0.0056,-0.0085,-0.158,0.7087,8.9787,36.8006,103.5914,-35.7136,1.16,Standby
1095,08:58:24,20,T,0.9,56.88,8.63,0.0035,0.0055,0.002,-0.1197,0.8667,9.041,36.4399,104.3083,-36.0603,0.91,Standby
1095,08:58:24,21,T,0.9,57.26,8.63,0.0003,-0.0075,0.0036,-0.1054,0.838,9.0122,35.5379,104.1291,-36.2337,1.87,Standby
1095,08:58:24,22,T,0.9,56.81,8.63,0.0109,0.0024,0.0091,-0.1101,0.7853,8.9643,37.1614,105.0252,-36.7538,1.78,Standby
1095,08:58:24,23,T,0.9,56.7,8.63,-0.0007,-0.0058,0.0114,-0.1101,0.8332,9.0697,36.6202,104.846,-36.9272,0.98,Standby
1095,08:58:25,24,T,0.9,57.25,8.63,-0.0177,-0.0061,0.0019,-0.1149,0.7614,9.1128,34.9967,104.3083,-35.7136,1.09,Standby
1095,08:58:25,25,T,0.9,56.84,8.63,-0.0039,0.0198,-0.0147,-0.1293,0.8093,9.0218,35.3575,105.0252,-36.4071,1.91,Standby
1095,08:58:25,26,T,0.9,57.15,8.63,0.0009,-0.0039,0.0103,-0.1484,0.7231,8.9691,36.0791,104.6668,-35.3668,1.49,Standby
1095,08:58:25,27,T,0.9,56.61,8.63,-0.0044,0.0028,0.008,-0.1341,0.7662,9.1224,36.0791,105.0252,-35.0201,1.1,Standby
1095,08:58:26,28,T,0.9,57.32,8.63,-0.0011,-0.0023,0,-0.1197,0.7518,9.0649,35.1771,104.4875,-34.1533,1.64,Standby
1095,08:58:26,29,T,0.9,57.59,8.63,-0.0127,-0.0069,-0.0033,-0.1389,0.7327,8.9356,35.8987,103.7706,-35.1935,0.92,Standby
1095,08:58:26,30,T,0.9,56.95,8.63,0.0268,0.0046,-0.0222,-0.1245,0.8667,8.9691,36.4399,105.0252,-36.4071,1.54,Standby
1095,08:58:26,31,T,0.9,57.1,8.63,-0.0119,-0.0199,0.0614,-0.0862,0.7662,8.9883,36.0791,105.3837,-35.7136,0.45,Standby
1095,08:58:27,32,T,0.8,56.62,8.63,0.0015,0.0031,0.0188,-0.1389,0.7375,9.0793,35.8987,104.4875,-35.5402,1.02,Standby
1095,08:58:27,33,T,0.8,57.46,8.63,-0.0044,-0.0067,0.0134,-0.1484,0.7375,9.0122,35.5379,104.846,-37.2739,0.4,Standby
1095,08:58:27,34,T,0.9,56.62,8.63,0.0025,0.005,0.0054,-0.1101,0.747,8.9979,36.4399,105.0252,-36.7538,1.49,Standby
1095,08:58:27,35,T,0.9,57.19,8.63,0.0005,0.0098,-0.0249,-0.1484,0.8045,9.1128,38.0634,103.4122,-37.9674,1.03,Standby
